epoch,score,lines,actions
399,13,0,65
400,14,0,86
401,14,0,56
402,12,0,43
403,14,0,81
404,18,0,84
405,16,0,75
406,14,0,90
407,16,0,62
408,16,0,65
409,14,0,59
410,13,0,65
411,10,0,29
412,11,0,52
413,11,0,50
414,18,0,84
415,11,0,50
416,11,0,38
417,12,0,50
418,12,0,52
419,15,0,56
420,12,0,50
421,13,0,78
422,15,0,88
423,15,0,66
424,15,0,106
425,23,0,147
426,10,0,22
427,19,0,115
428,16,0,96
429,13,0,58
430,10,0,35
431,15,0,87
432,14,0,77
433,16,0,84
434,14,0,61
435,19,0,128
436,12,0,85
437,12,0,78
438,12,0,68
439,14,0,58
440,11,0,29
441,12,0,49
442,18,0,99
443,15,0,79
444,15,0,84
445,20,0,127
446,12,0,45
447,13,0,70
448,18,0,82
449,10,0,30
450,22,0,139
451,13,0,90
452,14,0,67
453,12,0,63
454,12,0,59
455,12,0,35
456,12,0,40
457,10,0,40
458,15,0,68
459,12,0,49
460,15,0,77
461,11,0,24
462,10,0,43
463,14,0,46
464,18,0,75
465,16,0,57
466,13,0,56
467,11,0,38
468,12,0,65
469,11,0,42
470,11,0,56
471,16,0,91
472,14,0,73
473,15,0,92
474,16,0,65
475,17,0,104
476,14,0,75
477,12,0,37
478,11,0,57
479,10,0,48
480,12,0,37
481,14,0,61
482,17,0,74
483,16,0,68
484,19,0,86
485,17,0,95
486,9,0,33
487,12,0,45
488,11,0,58
489,10,0,28
490,17,0,87
491,10,0,48
492,16,0,81
493,16,0,93
494,15,0,95
495,19,0,134
496,14,0,62
497,12,0,54
498,13,0,80
499,15,0,74
500,20,0,114
501,19,0,112
502,14,0,65
503,16,0,93
504,18,0,99
505,18,0,98
506,11,0,52
507,13,0,90
508,15,0,111
509,15,0,84
510,14,0,80
511,13,0,41
512,17,0,86
513,17,0,89
514,14,0,81
515,30,1,126
516,18,0,82
517,14,0,46
518,15,0,86
519,15,0,79
520,17,0,95
521,13,0,35
522,20,0,126
523,14,0,86
524,15,0,107
525,16,0,64
526,14,0,50
527,12,0,56
528,13,0,63
529,16,0,89
530,13,0,70
531,15,0,75
532,15,0,75
533,16,0,78
534,14,0,65
535,13,0,82
536,16,0,91
537,12,0,62
538,13,0,63
539,19,0,112
540,14,0,69
541,11,0,34
542,18,0,107
543,18,0,89
544,13,0,64
545,16,0,76
546,19,0,149
547,9,0,45
548,12,0,54
549,10,0,39
550,11,0,56
551,14,0,79
552,14,0,80
553,17,0,120
554,14,0,74
555,11,0,49
556,13,0,71
557,16,0,105
558,17,0,104
559,14,0,67
560,13,0,73
561,15,0,39
562,14,0,81
563,13,0,57
564,19,0,115
565,16,0,97
566,13,0,56
567,14,0,74
568,22,0,174
569,16,0,77
570,15,0,48
571,20,0,113
572,14,0,70
573,16,0,83
574,14,0,67
575,14,0,91
576,15,0,61
577,14,0,104
578,13,0,65
579,16,0,76
580,14,0,54
581,13,0,38
582,11,0,66
583,11,0,49
584,17,0,95
585,18,0,54
