epoch,score,lines,actions
399,17,0,72
400,14,0,55
401,20,0,80
402,11,0,40
403,21,0,77
404,18,0,75
405,20,0,79
406,17,0,57
407,25,0,102
408,19,0,88
409,15,0,56
410,16,0,60
411,19,0,75
412,21,0,82
413,20,0,67
414,18,0,75
415,19,0,77
416,17,0,61
417,31,1,89
418,23,0,94
419,18,0,68
420,15,0,62
421,18,0,66
422,20,0,80
423,17,0,59
424,19,0,70
425,13,0,41
426,12,0,39
427,23,0,92
428,14,0,51
429,24,0,100
430,15,0,55
431,21,0,82
432,19,0,85
433,24,0,89
434,23,0,84
435,18,0,71
436,17,0,71
437,14,0,52
438,21,0,82
439,23,0,87
440,22,0,70
441,20,0,80
442,10,0,30
443,20,0,73
444,25,0,103
445,18,0,60
446,19,0,81
447,22,0,96
448,18,0,75
449,18,0,61
450,20,0,96
451,16,0,48
452,20,0,78
453,14,0,55
454,21,0,83
455,18,0,69
456,25,0,115
457,24,0,103
458,13,0,52
459,18,0,67
460,15,0,68
461,22,0,85
462,21,0,86
463,17,0,66
464,16,0,55
465,19,0,83
466,22,0,89
467,19,0,80
468,18,0,72
469,22,0,81
470,21,0,84
471,16,0,58
472,17,0,62
473,20,0,87
474,17,0,68
475,17,0,64
476,17,0,67
477,25,0,106
478,12,0,38
479,14,0,58
480,18,0,70
481,14,0,46
482,21,0,79
483,15,0,52
484,13,0,41
485,17,0,72
486,18,0,82
487,23,0,94
488,19,0,70
489,18,0,68
490,18,0,68
491,19,0,72
492,15,0,57
493,16,0,46
494,21,0,85
495,19,0,83
496,14,0,52
497,21,0,77
498,15,0,54
499,18,0,68
500,15,0,51
501,21,0,96
502,19,0,69
503,16,0,72
504,19,0,75
505,17,0,64
506,21,0,83
507,18,0,67
508,13,0,34
509,25,0,107
510,14,0,46
511,14,0,55
512,19,0,73
513,16,0,58
514,18,0,61
515,22,0,86
516,23,0,96
517,12,0,57
518,15,0,60
519,15,0,53
520,17,0,62
521,15,0,54
522,20,0,83
523,18,0,66
524,13,0,45
525,20,0,87
526,15,0,52
527,20,0,76
528,25,0,100
529,16,0,58
530,14,0,52
531,15,0,55
532,13,0,58
533,22,0,90
534,15,0,51
535,13,0,55
536,17,0,64
537,18,0,55
538,16,0,60
539,16,0,73
540,19,0,88
541,22,0,83
542,21,0,81
543,15,0,53
544,17,0,63
545,24,0,92
546,18,0,74
547,18,0,70
548,17,0,68
549,20,0,76
550,15,0,47
551,22,0,75
552,23,0,97
553,18,0,62
554,17,0,58
555,14,0,54
556,23,0,91
557,27,0,112
558,16,0,56
559,21,0,79
560,23,0,86
561,24,0,100
562,22,0,91
563,17,0,67
564,16,0,55
565,20,0,80
566,21,0,78
567,14,0,47
568,22,0,91
569,25,0,103
570,19,0,70
571,22,0,91
572,23,0,97
573,13,0,49
574,18,0,66
575,15,0,55
576,15,0,67
577,15,0,48
578,24,0,106
579,23,0,94
580,21,0,80
581,18,0,67
582,14,0,57
583,16,0,66
584,14,0,59
585,18,0,69
586,24,0,101
587,13,0,50
588,24,0,98
589,20,0,73
590,22,0,89
591,16,0,59
592,13,0,45
593,19,0,80
594,19,0,74
595,20,0,84
596,14,0,50
597,24,0,102
598,17,0,60
599,19,0,68
600,13,0,51
601,16,0,57
602,15,0,56
603,22,0,108
604,21,0,92
605,21,0,83
606,30,1,84
607,22,0,101
608,17,0,62
609,13,0,44
610,13,0,46
611,24,0,101
612,23,0,97
613,19,0,75
614,23,0,98
615,21,0,88
616,17,0,62
617,18,0,60
618,16,0,57
619,14,0,41
620,18,0,68
621,17,0,63
622,18,0,65
623,18,0,71
624,24,0,102
625,22,0,85
626,23,0,89
627,20,0,84
628,17,0,60
629,15,0,54
630,19,0,72
631,17,0,65
632,15,0,67
633,23,0,103
634,19,0,72
635,20,0,73
636,24,0,100
637,20,0,79
638,19,0,84
639,17,0,65
640,17,0,62
641,18,0,63
642,19,0,75
643,22,0,91
644,19,0,70
645,23,0,85
646,11,0,38
647,21,0,75
648,17,0,66
649,13,0,46
650,10,0,34
651,21,0,94
652,20,0,71
653,20,0,82
654,21,0,87
655,17,0,73
656,23,0,104
657,10,0,38
658,25,0,112
659,22,0,85
660,20,0,72
661,21,0,80
662,13,0,47
663,20,0,89
664,21,0,85
665,19,0,70
666,15,0,60
667,18,0,78
668,20,0,65
669,20,0,79
670,17,0,68
671,17,0,60
672,23,0,93
673,19,0,72
674,18,0,73
675,16,0,62
676,18,0,66
677,19,0,74
678,17,0,75
679,21,0,91
680,12,0,49
681,22,0,81
682,22,0,85
683,20,0,75
684,20,0,72
685,19,0,68
686,16,0,63
687,20,0,83
688,20,0,79
689,20,0,75
690,17,0,65
691,21,0,85
692,22,0,90
693,22,0,86
694,18,0,69
695,17,0,60
696,19,0,72
697,17,0,61
698,16,0,64
699,24,1,55
700,24,0,90
701,15,0,57
702,21,0,88
703,31,1,89
704,12,0,43
705,17,0,67
706,17,0,53
707,20,0,84
708,14,0,49
709,21,0,91
710,17,0,80
711,22,0,97
712,22,0,88
713,13,0,40
714,14,0,49
715,18,0,70
716,14,0,61
717,18,0,66
718,18,0,70
719,13,0,48
720,18,0,68
721,21,0,79
722,26,0,100
723,17,0,65
724,14,0,62
725,17,0,69
726,16,0,67
727,20,0,81
728,21,0,104
729,22,0,84
730,20,0,82
731,18,0,76
732,22,0,88
733,16,0,60
734,13,0,48
735,19,0,69
736,16,0,65
737,21,0,81
738,15,0,52
739,20,0,80
740,13,0,39
741,16,0,61
742,16,0,68
743,18,0,69
744,22,0,80
745,15,0,63
746,21,0,87
747,15,0,60
748,22,0,91
749,17,0,78
750,15,0,63
751,18,0,75
752,12,0,36
753,21,0,76
754,18,0,66
755,23,0,96
756,19,0,89
757,16,0,58
758,21,0,90
759,15,0,67
760,25,0,108
761,19,0,78
762,23,0,105
763,19,0,79
764,14,0,59
765,19,0,85
766,18,0,82
767,17,0,62
768,20,0,74
769,17,0,73
770,19,0,75
771,20,0,81
772,18,0,74
773,18,0,79
774,18,0,69
775,16,0,66
776,21,0,88
777,16,0,61
778,21,0,88
779,22,0,94
780,21,0,87
781,19,0,77
782,13,0,51
783,18,0,74
784,18,0,69
785,17,0,63
786,15,0,65
787,20,0,77
788,22,0,94
789,18,0,83
790,20,0,93
791,18,0,66
792,15,0,50
793,19,0,70
794,21,0,95
795,19,0,80
796,19,0,80
797,24,0,97
798,36,1,103
799,13,0,42
800,15,0,57
801,22,0,85
802,15,0,54
803,17,0,59
804,17,0,62
